username,pesan,label,label_angka,case_folding,cleaning,hasil_stopwords,tweet_tokens,tweet_stemmer
@rif_lw,"Yang bikin rame tuh pendukungnya anies. Setiap ada event bola inter mesti jis di sangkutin, bilang gabakal dipake karena kedok politik.  giliran di telusuri banyak yang ga standar,  eh nyalahin politik lagi.  Kocak terus pemerintah kudu piee",negatif,-1,"yang bikin rame tuh pendukungnya anies. setiap ada event bola inter mesti jis di sangkutin, bilang gabakal dipake karena kedok politik.  giliran di telusuri banyak yang ga standar,  eh nyalahin politik lagi.  kocak terus pemerintah kudu piee",yang bikin rame tuh pendukungnya anies setiap ada event bola inter mesti jis di sangkutin bilang gabakal dipake karena kedok politik giliran di telusuri banyak yang ga standar eh nyalahin politik lagi kocak terus pemerintah kudu piee,rame pendukungnya anies event bola inter mesti jis sangkutin gabakal dipake kedok politik giliran telusuri standar nyalahin politik kocak pemerintah kudu piee,"['rame', 'pendukungnya', 'anies', 'event', 'bola', 'inter', 'mesti', 'jis', 'sangkutin', 'gabakal', 'dipake', 'kedok', 'politik', 'giliran', 'telusuri', 'standar', 'nyalahin', 'politik', 'kocak', 'pemerintah', 'kudu', 'piee']","['rame', 'dukung', 'anies', 'event', 'bola', 'inter', 'mesti', 'jis', 'sangkutin', 'gabakal', 'dipake', 'kedok', 'politik', 'gilir', 'telusur', 'standar', 'nyalahin', 'politik', 'kocak', 'perintah', 'kudu', 'piee']"
@fenjuls,Kebijakan Anies sukses dalam mendukung pendidikan gratis di Jakarta,positif,1,kebijakan anies sukses dalam mendukung pendidikan gratis di jakarta,kebijakan anies sukses dalam mendukung pendidikan gratis di jakarta,kebijakan anies sukses mendukung pendidikan gratis jakarta,"['kebijakan', 'anies', 'sukses', 'mendukung', 'pendidikan', 'gratis', 'jakarta']","['bijak', 'anies', 'sukses', 'dukung', 'didik', 'gratis', 'jakarta']"
@arya_dhena,"Ada komen atau skrg hy gambar saja? Jd siapa penipu nya? Blm di jwb. Yg hy memperbaiki biar bs di gunakan Pildun atau yg beli rumput di Boyolali? Fakta itu muncul dg sendirinya. 
@aniesbaswedan
 
@erickthohir
  ternyata pak anies ngaku pak beli rumput di boyolali.cek RAB 
@KPK_RI",positif,1,"ada komen atau skrg hy gambar saja? jd siapa penipu nya? blm di jwb. yg hy memperbaiki biar bs di gunakan pildun atau yg beli rumput di boyolali? fakta itu muncul dg sendirinya. 
@aniesbaswedan
 
@erickthohir
  ternyata pak anies ngaku pak beli rumput di boyolali.cek rab 
@kpk_ri",ada komen atau skrg hy gambar saja jd siapa penipu nya blm di jwb yg hy memperbaiki biar bs di gunakan pildun atau yg beli rumput di boyolali fakta itu muncul dg sendirinya ternyata pak anies ngaku pak beli rumput di boyolalicek rab ri,komen hy gambar penipu blm jwb hy memperbaiki bs pildun beli rumput boyolali fakta muncul anies ngaku beli rumput boyolalicek rab ri,"['komen', 'hy', 'gambar', 'penipu', 'blm', 'jwb', 'hy', 'memperbaiki', 'bs', 'pildun', 'beli', 'rumput', 'boyolali', 'fakta', 'muncul', 'anies', 'ngaku', 'beli', 'rumput', 'boyolalicek', 'rab', 'ri']","['komen', 'hy', 'gambar', 'tipu', 'blm', 'jwb', 'hy', 'baik', 'bs', 'pildun', 'beli', 'rumput', 'boyolali', 'fakta', 'muncul', 'anies', 'ngaku', 'beli', 'rumput', 'boyolalicek', 'rab', 'ri']"
@diazika81,"Jakarta Mendunia Guys . Era Anies Jakarta Top Markotop. 
Jangan oedulikan bullyan guys, Senyumin aza Dan tetap dukung Anies.

Dear Admin @ Jgn di hapus ya twitnya, Thanks.",negatif,-1,"jakarta mendunia guys . era anies jakarta top markotop. 
jangan oedulikan bullyan guys, senyumin aza dan tetap dukung anies.

dear admin @ jgn di hapus ya twitnya, thanks.",jakarta mendunia guys era anies jakarta top markotop jangan oedulikan bullyan guys senyumin aza dan tetap dukung anies dear admin jgn di hapus ya twitnya thanks,jakarta mendunia era anies jakarta top markotop oedulikan bullyan senyumin aza dukung anies dear admin hapus twitnya,"['jakarta', 'mendunia', 'era', 'anies', 'jakarta', 'top', 'markotop', 'oedulikan', 'bullyan', 'senyumin', 'aza', 'dukung', 'anies', 'dear', 'admin', 'hapus', 'twitnya']","['jakarta', 'dunia', 'era', 'anies', 'jakarta', 'top', 'markotop', 'oedulikan', 'bullyan', 'senyumin', 'aza', 'dukung', 'anies', 'dear', 'admin', 'hapus', 'twitnya']"
@HelmiFelis_,"Kalau ingin Indonesia seperti Prancis pilih CaPres yang diusung oleh Partai yang rasis seperti, you know kan? 

Kalo mau Indonesia seperti Ukraina pilih CaPres yang suka perang

Kalo ingin Indonesia berubah drastis seperti Qatar (mewah) tau kan? Anies Baswedan 

.",positif,1,"kalau ingin indonesia seperti prancis pilih capres yang diusung oleh partai yang rasis seperti, you know kan? 

kalo mau indonesia seperti ukraina pilih capres yang suka perang

kalo ingin indonesia berubah drastis seperti qatar (mewah) tau kan? anies baswedan 

.",kalau ingin indonesia seperti prancis pilih capres yang diusung oleh partai yang rasis seperti you know kan kalo mau indonesia seperti ukraina pilih capres yang suka perang kalo ingin indonesia berubah drastis seperti qatar mewah tau kan anies baswedan,indonesia prancis pilih capres diusung partai rasis you know indonesia ukraina pilih capres suka perang indonesia berubah drastis qatar mewah anies baswedan,"['indonesia', 'prancis', 'pilih', 'capres', 'diusung', 'partai', 'rasis', 'you', 'know', 'indonesia', 'ukraina', 'pilih', 'capres', 'suka', 'perang', 'indonesia', 'berubah', 'drastis', 'qatar', 'mewah', 'anies', 'baswedan']","['indonesia', 'prancis', 'pilih', 'capres', 'usung', 'partai', 'ras', 'you', 'know', 'indonesia', 'ukraina', 'pilih', 'capres', 'suka', 'perang', 'indonesia', 'ubah', 'drastis', 'qatar', 'mewah', 'anies', 'baswedan']"
@AbaAbdirrahim,"Wahai Jak Mania, JIS dibangun dari uang pajak warga Jakarta, jadi milik warga Jakarta, pelihara dan jaga dengan sepenuh tenaga.

“JIS adalah kebanggaan bagi warga Jakarta. Ini dibiayai lewat uang pajak dari seluruh warga Jakarta ..."" kata Anies dikutip dari Antara (13/12/2021).",positif,1,"wahai jak mania, jis dibangun dari uang pajak warga jakarta, jadi milik warga jakarta, pelihara dan jaga dengan sepenuh tenaga.

“jis adalah kebanggaan bagi warga jakarta. ini dibiayai lewat uang pajak dari seluruh warga jakarta ..."" kata anies dikutip dari antara (13/12/2021).",wahai jak mania jis dibangun dari uang pajak warga jakarta jadi milik warga jakarta pelihara dan jaga dengan sepenuh tenaga jis adalah kebanggaan bagi warga jakarta ini dibiayai lewat uang pajak dari seluruh warga jakarta kata anies dikutip dari antara,jak mania jis dibangun uang pajak warga jakarta milik warga jakarta pelihara jaga sepenuh tenaga jis kebanggaan warga jakarta dibiayai uang pajak warga jakarta anies dikutip,"['jak', 'mania', 'jis', 'dibangun', 'uang', 'pajak', 'warga', 'jakarta', 'milik', 'warga', 'jakarta', 'pelihara', 'jaga', 'sepenuh', 'tenaga', 'jis', 'kebanggaan', 'warga', 'jakarta', 'dibiayai', 'uang', 'pajak', 'warga', 'jakarta', 'anies', 'dikutip']","['jak', 'mania', 'jis', 'bangun', 'uang', 'pajak', 'warga', 'jakarta', 'milik', 'warga', 'jakarta', 'pelihara', 'jaga', 'sepenuh', 'tenaga', 'jis', 'bangga', 'warga', 'jakarta', 'biaya', 'uang', 'pajak', 'warga', 'jakarta', 'anies', 'kutip']"
@enermge,Anies tekun mengajari tanpa menggurui,positif,1,anies tekun mengajari tanpa menggurui,anies tekun mengajari tanpa menggurui,anies tekun mengajari menggurui,"['anies', 'tekun', 'mengajari', 'menggurui']","['anies', 'tekun', 'ajar', 'guru']"
@coozixl,Pak Anies sukses mencetak banyak prestasi saat menjadi gubernur Jakarta,positif,1,pak anies sukses mencetak banyak prestasi saat menjadi gubernur jakarta,pak anies sukses mencetak banyak prestasi saat menjadi gubernur jakarta,anies sukses mencetak prestasi gubernur jakarta,"['anies', 'sukses', 'mencetak', 'prestasi', 'gubernur', 'jakarta']","['anies', 'sukses', 'cetak', 'prestasi', 'gubernur', 'jakarta']"
@poodiejeje,Anies sukses dalam mengurangi kemacetan di ibu kota melalui pengembangan transportasi massal,positif,1,anies sukses dalam mengurangi kemacetan di ibu kota melalui pengembangan transportasi massal,anies sukses dalam mengurangi kemacetan di ibu kota melalui pengembangan transportasi massal,anies sukses mengurangi kemacetan kota pengembangan transportasi massal,"['anies', 'sukses', 'mengurangi', 'kemacetan', 'kota', 'pengembangan', 'transportasi', 'massal']","['anies', 'sukses', 'kurang', 'macet', 'kota', 'kembang', 'transportasi', 'massal']"
@sintaaeeyy,Pak Anies peka dan responsif sebagai seorang pemimpin.,positif,1,pak anies peka dan responsif sebagai seorang pemimpin.,pak anies peka dan responsif sebagai seorang pemimpin,anies peka responsif pemimpin,"['anies', 'peka', 'responsif', 'pemimpin']","['anies', 'peka', 'responsif', 'pimpin']"
,"Semakin semangat nih utk menangin Anies thn depan, supaya  keluarga bajingan idola nya cebong itu dimasukin bui",positif,1,"semakin semangat nih utk menangin anies thn depan, supaya  keluarga bajingan idola nya cebong itu dimasukin bui",semakin semangat nih utk menangin anies thn depan supaya keluarga bajingan idola nya cebong itu dimasukin bui,semangat menangin anies thn keluarga bajingan idola cebong dimasukin bui,"['semangat', 'menangin', 'anies', 'thn', 'keluarga', 'bajingan', 'idola', 'cebong', 'dimasukin', 'bui']","['semangat', 'menangin', 'anies', 'thn', 'keluarga', 'bajing', 'idola', 'cebong', 'dimasukin', 'bui']"
@chxores,Pak Anies peduli pada pemberdayaan perempuan,positif,1,pak anies peduli pada pemberdayaan perempuan,pak anies peduli pada pemberdayaan perempuan,anies peduli pemberdayaan perempuan,"['anies', 'peduli', 'pemberdayaan', 'perempuan']","['anies', 'peduli', 'daya', 'perempuan']"
@coozixl,Pak Anies peduli dengan pendidikan anak anak di Indonesia,positif,1,pak anies peduli dengan pendidikan anak anak di indonesia,pak anies peduli dengan pendidikan anak anak di indonesia,anies peduli pendidikan anak anak indonesia,"['anies', 'peduli', 'pendidikan', 'anak', 'anak', 'indonesia']","['anies', 'peduli', 'didik', 'anak', 'anak', 'indonesia']"
@NuelMend,"Buzzer Anies pada diam,tdk mau lg menyinggung setelah terbongkar malah buzzer-buzzer Anies mulai menggiring opini lain untuk pengalihan isu,semoga rakyat yg mendukung Anies selama ini terbuka mata bahwa Anies capres pembohong,penipu.",negatif,-1,"buzzer anies pada diam,tdk mau lg menyinggung setelah terbongkar malah buzzer-buzzer anies mulai menggiring opini lain untuk pengalihan isu,semoga rakyat yg mendukung anies selama ini terbuka mata bahwa anies capres pembohong,penipu.",buzzer anies pada diamtdk mau lg menyinggung setelah terbongkar malah buzzerbuzzer anies mulai menggiring opini lain untuk pengalihan isusemoga rakyat yg mendukung anies selama ini terbuka mata bahwa anies capres pembohongpenipu,buzzer anies diamtdk menyinggung terbongkar buzzerbuzzer anies menggiring opini pengalihan isusemoga rakyat mendukung anies terbuka mata anies capres pembohongpenipu,"['buzzer', 'anies', 'diamtdk', 'menyinggung', 'terbongkar', 'buzzerbuzzer', 'anies', 'menggiring', 'opini', 'pengalihan', 'isusemoga', 'rakyat', 'mendukung', 'anies', 'terbuka', 'mata', 'anies', 'capres', 'pembohongpenipu']","['buzzer', 'anies', 'diamtdk', 'singgung', 'bongkar', 'buzzerbuzzer', 'anies', 'giring', 'opini', 'alih', 'isusemoga', 'rakyat', 'dukung', 'anies', 'buka', 'mata', 'anies', 'capres', 'pembohongpenipu']"
@colvdest,Pak Anies peduli dan toleransi bgt sebagai pemimpin loh,positif,1,pak anies peduli dan toleransi bgt sebagai pemimpin loh,pak anies peduli dan toleransi bgt sebagai pemimpin loh,anies peduli toleransi pemimpin,"['anies', 'peduli', 'toleransi', 'pemimpin']","['anies', 'peduli', 'toleransi', 'pimpin']"
@im_haseje,"Iya ni keren bgt ya, pak anies ahli bikin program yg inklusif",positif,1,"iya ni keren bgt ya, pak anies ahli bikin program yg inklusif",iya ni keren bgt ya pak anies ahli bikin program yg inklusif,iya keren anies ahli program inklusif,"['iya', 'keren', 'anies', 'ahli', 'program', 'inklusif']","['iya', 'keren', 'anies', 'ahli', 'program', 'inklusif']"
@YellyYellow5,Pak Anies sukses dalam menjalankan tugasnya sebagai Gubernur DKI Jakarta.,positif,1,pak anies sukses dalam menjalankan tugasnya sebagai gubernur dki jakarta.,pak anies sukses dalam menjalankan tugasnya sebagai gubernur dki jakarta,anies sukses menjalankan tugasnya gubernur dki jakarta,"['anies', 'sukses', 'menjalankan', 'tugasnya', 'gubernur', 'dki', 'jakarta']","['anies', 'sukses', 'jalan', 'tugas', 'gubernur', 'dki', 'jakarta']"
@faz_hrp,"Hahaha, Ini Akun Kalo Ada yg negative tentang Pak Anies, Cepat nya bukan Maen. Yg bikin aneh, Setelah si Arya dan Tukang Rumput kalah debat dan kalah malu, Tiba tiba Muncul Judul ini",negatif,-1,"hahaha, ini akun kalo ada yg negative tentang pak anies, cepat nya bukan maen. yg bikin aneh, setelah si arya dan tukang rumput kalah debat dan kalah malu, tiba tiba muncul judul ini",hahaha ini akun kalo ada yg negative tentang pak anies cepat nya bukan maen yg bikin aneh setelah si arya dan tukang rumput kalah debat dan kalah malu tiba tiba muncul judul ini,hahaha akun negative anies cepat maen aneh arya tukang rumput kalah debat kalah malu muncul judul,"['hahaha', 'akun', 'negative', 'anies', 'cepat', 'maen', 'aneh', 'arya', 'tukang', 'rumput', 'kalah', 'debat', 'kalah', 'malu', 'muncul', 'judul']","['hahaha', 'akun', 'negative', 'anies', 'cepat', 'maen', 'aneh', 'arya', 'tukang', 'rumput', 'kalah', 'debat', 'kalah', 'malu', 'muncul', 'judul']"
@noanverse,Pak Anies sukses loh jadi gubernur Jakarta,positif,1,pak anies sukses loh jadi gubernur jakarta,pak anies sukses loh jadi gubernur jakarta,anies sukses gubernur jakarta,"['anies', 'sukses', 'gubernur', 'jakarta']","['anies', 'sukses', 'gubernur', 'jakarta']"
@abu_waras,"Jadi gini, nanti setiap apa yang sudah dibangun Anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok Bapak Pembangunannya. 
Iya engga sih?",netral,0,"jadi gini, nanti setiap apa yang sudah dibangun anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok bapak pembangunannya. 
iya engga sih?",jadi gini nanti setiap apa yang sudah dibangun anies akan dinyatakan tidak standar lalu dilakukan renovasi setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok bapak pembangunannya iya engga sih,dibangun anies dinyatakan standar renovasi gunting pita ulang sosok pembangunannya iya,"['dibangun', 'anies', 'dinyatakan', 'standar', 'renovasi', 'gunting', 'pita', 'ulang', 'sosok', 'pembangunannya', 'iya']","['bangun', 'anies', 'nyata', 'standar', 'renovasi', 'gunting', 'pita', 'ulang', 'sosok', 'bangun', 'iya']"
@DavidWijaya82,Hai teman Projo   apakah semua sejalan dengan Ketum Budi Arie yang terus menggiring memilih Prabowo ?,positif,1,hai teman projo   apakah semua sejalan dengan ketum budi arie yang terus menggiring memilih prabowo ?,hai teman projo apakah semua sejalan dengan ketum budi arie yang terus menggiring memilih prabowo,hai teman projo sejalan ketum budi arie menggiring memilih prabowo,"['hai', 'teman', 'projo', 'sejalan', 'ketum', 'budi', 'arie', 'menggiring', 'memilih', 'prabowo']","['hai', 'teman', 'projo', 'jalan', 'tum', 'budi', 'arie', 'giring', 'pilih', 'prabowo']"
@BosPurwa,"Ingpo yang gw dengar..
Anies Baswedan akan dipanggil kejaksaan/kejagung sepulangnya dari Arab Saudi terkait kasus bansos

Mudah2an gak bener berita itu.",negatif,-1,"ingpo yang gw dengar..
anies baswedan akan dipanggil kejaksaan/kejagung sepulangnya dari arab saudi terkait kasus bansos

mudah2an gak bener berita itu.",ingpo yang gw dengar anies baswedan akan dipanggil kejaksaankejagung sepulangnya dari arab saudi terkait kasus bansos mudahan gak bener berita itu,ingpo dengar anies baswedan dipanggil kejaksaankejagung sepulangnya arab saudi terkait bansos mudahan bener berita,"['ingpo', 'dengar', 'anies', 'baswedan', 'dipanggil', 'kejaksaankejagung', 'sepulangnya', 'arab', 'saudi', 'terkait', 'bansos', 'mudahan', 'bener', 'berita']","['ingpo', 'dengar', 'anies', 'baswedan', 'panggil', 'kejaksaankejagung', 'pulang', 'arab', 'saudi', 'kait', 'bansos', 'mudah', 'bener', 'berita']"
@HelmiFelis_,"Rumor Anies - Gatot Nurmantyo bener tuh? Kita mah relawan akan siap dukung siapapun Wakilnya

Bismillah jadi 

.",positif,1,"rumor anies - gatot nurmantyo bener tuh? kita mah relawan akan siap dukung siapapun wakilnya

bismillah jadi 

.",rumor anies gatot nurmantyo bener tuh kita mah relawan akan siap dukung siapapun wakilnya bismillah jadi,rumor anies gatot nurmantyo bener mah relawan dukung wakilnya bismillah,"['rumor', 'anies', 'gatot', 'nurmantyo', 'bener', 'mah', 'relawan', 'dukung', 'wakilnya', 'bismillah']","['rumor', 'anies', 'gatot', 'nurmantyo', 'bener', 'mah', 'rawan', 'dukung', 'wakil', 'bismillah']"
@RagilSemar,"Anies nanggepi soal JIS woles aja.

Maka biarkan yg ribut para fanatik capres dan pejabat2 caper saja lah.

Rakyat kecil cukup perhatikan RUU kesehatan, maling Nikel, gerombolan garong BTS, begundal kebon sawit, dan perkara2 lain yang jauh lebih jahat.

Monggo.",negatif,-1,"anies nanggepi soal jis woles aja.

maka biarkan yg ribut para fanatik capres dan pejabat2 caper saja lah.

rakyat kecil cukup perhatikan ruu kesehatan, maling nikel, gerombolan garong bts, begundal kebon sawit, dan perkara2 lain yang jauh lebih jahat.

monggo.",anies nanggepi soal jis woles aja maka biarkan yg ribut para fanatik capres dan pejabat caper saja lah rakyat kecil cukup perhatikan ruu kesehatan maling nikel gerombolan garong bts begundal kebon sawit dan perkara lain yang jauh lebih jahat monggo,anies nanggepi jis woles biarkan ribut fanatik capres pejabat caper rakyat perhatikan ruu kesehatan maling nikel gerombolan garong bts begundal kebon sawit perkara jahat monggo,"['anies', 'nanggepi', 'jis', 'woles', 'biarkan', 'ribut', 'fanatik', 'capres', 'pejabat', 'caper', 'rakyat', 'perhatikan', 'ruu', 'kesehatan', 'maling', 'nikel', 'gerombolan', 'garong', 'bts', 'begundal', 'kebon', 'sawit', 'perkara', 'jahat', 'monggo']","['anies', 'nanggepi', 'jis', 'woles', 'biar', 'ribut', 'fanatik', 'capres', 'jabat', 'caper', 'rakyat', 'perhati', 'ruu', 'sehat', 'maling', 'nikel', 'gerombol', 'garong', 'bts', 'begundal', 'kebon', 'sawit', 'perkara', 'jahat', 'monggo']"
@kasman_abdya,"Jika Anies-Gatot (ABGAN)  duet, badai dari RRC pasti lebih kuat.",netral,0,"jika anies-gatot (abgan)  duet, badai dari rrc pasti lebih kuat.",jika aniesgatot abgan duet badai dari rrc pasti lebih kuat,aniesgatot abgan duet badai rrc kuat,"['aniesgatot', 'abgan', 'duet', 'badai', 'rrc', 'kuat']","['aniesgatot', 'abgan', 'duet', 'badai', 'rrc', 'kuat']"
@kurawa,"Peta Keberpihakan sampai dengan hari ini TV nasional utk Capres :

Anies :
Metro TV
Viva Group
Trans Group

Ganjar :
MNC Group

Prabowo :
----

Kemungkinan Akan berubah ada setelah Cawapres diumumkan",positif,1,"peta keberpihakan sampai dengan hari ini tv nasional utk capres :

anies :
metro tv
viva group
trans group

ganjar :
mnc group

prabowo :
----

kemungkinan akan berubah ada setelah cawapres diumumkan",peta keberpihakan sampai dengan hari ini tv nasional utk capres anies metro tv viva group trans group ganjar mnc group prabowo kemungkinan akan berubah ada setelah cawapres diumumkan,peta keberpihakan tv nasional capres anies metro tv viva group trans group ganjar mnc group prabowo berubah cawapres diumumkan,"['peta', 'keberpihakan', 'tv', 'nasional', 'capres', 'anies', 'metro', 'tv', 'viva', 'group', 'trans', 'group', 'ganjar', 'mnc', 'group', 'prabowo', 'berubah', 'cawapres', 'diumumkan']","['peta', 'pihak', 'tv', 'nasional', 'capres', 'anies', 'metro', 'tv', 'viva', 'group', 'trans', 'group', 'ganjar', 'mnc', 'group', 'prabowo', 'ubah', 'cawapres', 'umum']"
@kangdede78,"Tinggal nunggu penyembah ‘berhala JIS’ menyerang Konsultan desain yg bermarkas di Inggris, Buro Happold.

Narasinya: “Konsultan itu ditekan rezim untuk menjelek-jelekan Anies” Capres mantan Gubernur TERBURUK sepanjang sejarah DKI.

Dalam… Show more",negatif,-1,"tinggal nunggu penyembah ‘berhala jis’ menyerang konsultan desain yg bermarkas di inggris, buro happold.

narasinya: “konsultan itu ditekan rezim untuk menjelek-jelekan anies” capres mantan gubernur terburuk sepanjang sejarah dki.

dalam… show more",tinggal nunggu penyembah berhala jis menyerang konsultan desain yg bermarkas di inggris buro happold narasinya konsultan itu ditekan rezim untuk menjelekjelekan anies capres mantan gubernur terburuk sepanjang sejarah dki dalam show more,tinggal nunggu penyembah berhala jis menyerang konsultan desain bermarkas inggris buro happold narasinya konsultan ditekan menjelekjelekan anies capres mantan gubernur terburuk sejarah dki show more,"['tinggal', 'nunggu', 'penyembah', 'berhala', 'jis', 'menyerang', 'konsultan', 'desain', 'bermarkas', 'inggris', 'buro', 'happold', 'narasinya', 'konsultan', 'ditekan', 'menjelekjelekan', 'anies', 'capres', 'mantan', 'gubernur', 'terburuk', 'sejarah', 'dki', 'show', 'more']","['tinggal', 'nunggu', 'sembah', 'berhala', 'jis', 'serang', 'konsultan', 'desain', 'markas', 'inggris', 'buro', 'happold', 'narasi', 'konsultan', 'tekan', 'menjelekjelekan', 'anies', 'capres', 'mantan', 'gubernur', 'buruk', 'sejarah', 'dki', 'show', 'more']"
@as16067013,"JIS digaungkan Fauzi Bowo 2008 namun tidak terlaksana, 
2014 Jokowi gaungkan juga tidak terlaksana.
2017 Djarot letakan batu pertama setelah itu ditinggal, dikiranya stadion bisa tumbuh sendiri seperti pohon.
2019 Anies Baswedan merealisasikan pembangunan stadion hingga selesai.",negatif,-1,"jis digaungkan fauzi bowo 2008 namun tidak terlaksana, 
2014 jokowi gaungkan juga tidak terlaksana.
2017 djarot letakan batu pertama setelah itu ditinggal, dikiranya stadion bisa tumbuh sendiri seperti pohon.
2019 anies baswedan merealisasikan pembangunan stadion hingga selesai.",jis digaungkan fauzi bowo namun tidak terlaksana jokowi gaungkan juga tidak terlaksana djarot letakan batu pertama setelah itu ditinggal dikiranya stadion bisa tumbuh sendiri seperti pohon anies baswedan merealisasikan pembangunan stadion hingga selesai,jis digaungkan fauzi bowo terlaksana jokowi gaungkan terlaksana djarot letakan batu ditinggal dikiranya stadion tumbuh pohon anies baswedan merealisasikan pembangunan stadion selesai,"['jis', 'digaungkan', 'fauzi', 'bowo', 'terlaksana', 'jokowi', 'gaungkan', 'terlaksana', 'djarot', 'letakan', 'batu', 'ditinggal', 'dikiranya', 'stadion', 'tumbuh', 'pohon', 'anies', 'baswedan', 'merealisasikan', 'pembangunan', 'stadion', 'selesai']","['jis', 'gaung', 'fauzi', 'bowo', 'laksana', 'jokowi', 'gaung', 'laksana', 'djarot', 'leta', 'batu', 'tinggal', 'kira', 'stadion', 'tumbuh', 'pohon', 'anies', 'baswedan', 'realisasi', 'bangun', 'stadion', 'selesai']"
@Abeng1204,Sebarkan. Biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya ,positif,1,sebarkan. biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya ,sebarkan biar buzer makin kejang lht anies semakin populer dgn karya nya,sebarkan buzer kejang lht anies populer karya,"['sebarkan', 'buzer', 'kejang', 'lht', 'anies', 'populer', 'karya']","['sebar', 'buzer', 'kejang', 'lht', 'anies', 'populer', 'karya']"
@OFFICIALGODIR,"Betul, kenapa tim 8 Anies tidak coba  memohon keaediaannya pak Ahok jadi Wapresnya ya. Politik itu kan dinamis, hari ini kawan besok besok jadi lawan sayangnya AHOK sdh bersumpah bahwa  "" siapa yg mendzolomi dirinya akan dipermalukan satu persatu dan Anies salah satunya ",negatif,-1,"betul, kenapa tim 8 anies tidak coba  memohon keaediaannya pak ahok jadi wapresnya ya. politik itu kan dinamis, hari ini kawan besok besok jadi lawan sayangnya ahok sdh bersumpah bahwa  "" siapa yg mendzolomi dirinya akan dipermalukan satu persatu dan anies salah satunya ",betul kenapa tim anies tidak coba memohon keaediaannya pak ahok jadi wapresnya ya politik itu kan dinamis hari ini kawan besok besok jadi lawan sayangnya ahok sdh bersumpah bahwa siapa yg mendzolomi dirinya akan dipermalukan satu persatu dan anies salah satunya,tim anies coba memohon keaediaannya ahok wapresnya politik dinamis kawan lawan sayangnya ahok bersumpah mendzolomi dipermalukan persatu anies salah satunya,"['tim', 'anies', 'coba', 'memohon', 'keaediaannya', 'ahok', 'wapresnya', 'politik', 'dinamis', 'kawan', 'lawan', 'sayangnya', 'ahok', 'bersumpah', 'mendzolomi', 'dipermalukan', 'persatu', 'anies', 'salah', 'satunya']","['tim', 'anies', 'coba', 'mohon', 'keaediaannya', 'ahok', 'wapresnya', 'politik', 'dinamis', 'kawan', 'lawan', 'sayang', 'ahok', 'sumpah', 'mendzolomi', 'malu', 'satu', 'anies', 'salah', 'satu']"
@peachyseokjinz,Anies sukses loh dalam mengurangi angka covid pada masa pandemi,netral,0,anies sukses loh dalam mengurangi angka covid pada masa pandemi,anies sukses loh dalam mengurangi angka covid pada masa pandemi,anies sukses mengurangi angka covid pandemi,"['anies', 'sukses', 'mengurangi', 'angka', 'covid', 'pandemi']","['anies', 'sukses', 'kurang', 'angka', 'covid', 'pandemi']"
@kasman_abdya,"Jika Anies-Gatot (ABGAN)  duet, badai dari RRC pasti lebih kuat.",netral,0,"jika anies-gatot (abgan)  duet, badai dari rrc pasti lebih kuat.",jika aniesgatot abgan duet badai dari rrc pasti lebih kuat,aniesgatot abgan duet badai rrc kuat,"['aniesgatot', 'abgan', 'duet', 'badai', 'rrc', 'kuat']","['aniesgatot', 'abgan', 'duet', 'badai', 'rrc', 'kuat']"
@bantdip,"Lu pada tolol yang dukung anies,prabowo,ganjar,jokowi dan partai partai sampe segitunya. Mereka aja dateng ke lu pada pas mau pemilu doang, mereka aja gaakan peduli lu mau mati kesengat lebah kek atau apalah. Lupada di sosmed saling hina, saling menjatuhkan",netral,0,"lu pada tolol yang dukung anies,prabowo,ganjar,jokowi dan partai partai sampe segitunya. mereka aja dateng ke lu pada pas mau pemilu doang, mereka aja gaakan peduli lu mau mati kesengat lebah kek atau apalah. lupada di sosmed saling hina, saling menjatuhkan",lu pada tolol yang dukung aniesprabowoganjarjokowi dan partai partai sampe segitunya mereka aja dateng ke lu pada pas mau pemilu doang mereka aja gaakan peduli lu mau mati kesengat lebah kek atau apalah lupada di sosmed saling hina saling menjatuhkan,tolol dukung aniesprabowoganjarjokowi partai partai segitunya dateng pas pemilu gaakan peduli mati kesengat lebah apalah lupada sosmed hina menjatuhkan,"['tolol', 'dukung', 'aniesprabowoganjarjokowi', 'partai', 'partai', 'segitunya', 'dateng', 'pas', 'pemilu', 'gaakan', 'peduli', 'mati', 'kesengat', 'lebah', 'apalah', 'lupada', 'sosmed', 'hina', 'menjatuhkan']","['tolol', 'dukung', 'aniesprabowoganjarjokowi', 'partai', 'partai', 'segitunya', 'dateng', 'pas', 'milu', 'gaakan', 'peduli', 'mati', 'sengat', 'lebah', 'apa', 'lupada', 'sosmed', 'hina', 'jatuh']"
