username,pesan,Negative Count,Positive Count,label
@carboxcarbo,Pak Anies ahli dalam memberikan memotivasi,0,2,positif
@ch_chotimah2,"Membiarkan Nasdem dikabinet pdhl sdh mendukung Anies.
Membiarkan prabowo memanfaatkan nama dan fotonya pdhl partainya mencalonkan Ganjar.

Knp pak Jokowi melakukan itu?
Biar seluruh rakyat Indonesia tau betapa ga tau malunya lawan politik Jokowi selama ini, seperti dulu PAN, sdh… Show more",3,1,negatif
@raphi_saputra,"Unpopuler opinion.
Sbnernya JIS hmpir pasti kepake,cuma klo lsg dipake yg di untungkan Anies.Makanya di atur biar popularitas Anies ngga ikut terangkat gara2 JIS di pake.Kalo emg JIS ga layak, logikanya lsg tunjuk stadion lain aja yg standar FIFA. Ga muter2 cari cacat ksana kmari",3,0,negatif
@poodiejeje,Pak Anies ahli loh dalam membuat banyak program transportasi,0,2,positif
@chxores,Katanya Anies sabar diturunkan dari ayah beliau,1,1,netral
@yana_udiyatna,"waaooo...Anies Baswedan berkomplot dgn gerombolan  Wahabi, ada Basalamah cs, ada Firanda Andirja yg lebih percaya Bumi itu Datar....",2,1,negatif
@Aroem_Aryo,Prabowo itu Seperti Sungai Besar,0,0,netral
@Minhyunqi,"Program"" Anies mantap sehingga didukung semua pihak. #AniesMantap",0,1,positif
@anthwf77,"Terimakasih utk membuat elektabilitas anies makin jatuh dg rajin sebar berita bohong, anis memang gak pantas buat memimpin negeri ini ",1,2,positif
@wonteod,"Anies ahli dalam memimpin, siap mencalonkan diri menjadi capres.",0,2,positif
@diahnya_sastro,"Janganlah si songong ini dijejerin pk anies,  cukup sma ahy dah gk ada lain yg cocok",1,2,positif
@neckleot,Anies tekun menanam kebaikan di mana pun berada,0,2,positif
@fenjuls,Anies antusias menjadikan Jakarta kota yg ramah,0,2,positif
@Jimilbaryatiha1,"Kata Anies ada jogging track di atap JIS, kata FIFA, JIS tdk layak untuk pertandingan bola bagi klub-klub yg bernaung di bawah FIFA, tapi kadrun percaya Anies dibandingkan FIFA...",0,2,positif
@carboxcarbo,Pak Anies peka dengan kondisi Jakarta sebelum nya dan membawa perubahan setelahnya.,0,0,netral
@abu_waras,"Jadi gini, nanti setiap apa yang sudah dibangun Anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok Bapak Pembangunannya. 
Iya engga sih?",1,1,netral
@xjnes,Banyak yg menilai Pak Anies ahli di bidang politik,1,2,positif
@fenjuls,Anies antusias menjadikan Jakarta kota yg ramah,0,2,positif
@purw73,"Anies Baswedan sang cucu pahlawan Nasional Indonesia membangun JIS u Persija , karya  % anak bangsa tanpa ngutang.",0,2,positif
@neckleot,Anies tekun menanam kebaikan di mana pun berada,0,2,positif
@HelmiFelis_,"Kalau ingin Indonesia seperti Prancis pilih CaPres yang diusung oleh Partai yang rasis seperti, you know kan? 

Kalo mau Indonesia seperti Ukraina pilih CaPres yang suka perang

Kalo ingin Indonesia berubah drastis seperti Qatar (mewah) tau kan? Anies Baswedan 

.",1,3,positif
@nayasurethings,Untuk manajemen krisis tuh Pak Anies ahli loh,1,1,netral
@bolonhuta1,"di wa grup naposo simbolon. yg di bahas pak prabowo dari kemaren
kayak nya kaum milenial(naposo) emng melihat ps kandidat yg relevan.deh,mantab",0,0,netral
@noanverse,"Kalo untuk membentuk tim kerja yg solid, Pak Anies ahli deh",0,2,positif
@sintaaeeyy,"Sewaktu menjadi gubernur, pak Anies ahli memberikan fasilitas - fasilitas baru kepada rakyat nya.",0,1,positif
@scraspe,Rekam jejak prestasi Anies tidak terbantahkan,2,1,negatif
@bachrum_achmadi,"Dulu awal ditangkap heboh kali, seolah Johnny G Plate korupsi rugikan negara 8 triliun.

Makin ke sini, ternyata Plate diduga memperkaya diri 17.8 miliar. Pdhl yg diterima pihak lainnya jauh lbh bsr.

Heboh krn Plate dr NasDem parte pendukung Anies. Kolam jd bergemuruh!",3,1,negatif
@enermge,Dari kecil emang Anies prestasi nya sudah bejibun,1,1,netral
@Minhyunqi,"Program"" Anies mantap sehingga didukung semua pihak. #AniesMantap",0,1,positif
@BosPurwa,"Makasih Pak Jokowi, Pak Erick Thohir, Pak Dito yang sudah memulai lagi membicarakan JIS

Panjang cerita JIS ini sampai November nanti dan selama itu pula nama Anies Baswedan akan terus diangkat baik yang pro ato yang kontra. Bagus bukan?

Spesial untuk 
@Miduk17
, thanks ya :)",0,4,positif
,"Semakin semangat nih utk menangin Anies thn depan, supaya  keluarga bajingan idola nya cebong itu dimasukin bui",0,1,positif
@Gumilar86230032,"dia tau yg terberat buat anies itu bukan lawan capres lain, tapi lawan rezim ini yg berusaha menjegal sebelum jd capres. kalo anies sukses jadi capres maka tdk akan terbendung pasti menang 1putaran.",5,4,negatif
@HelmiFelis_,"Kok JIS tiba-tiba dipermasalahkan?

Apakah karena JIS tidak standart FIFA? Bukan

JIS bukan standart FIFA? Ya, JIS standart elektabilitas

Makanya rezim puyeng mau hapus jejak Anies di JIS 

Kita tonton saja kebodohan mereka dengan bangun narasi renovasi atau apapun itu 

.",9,0,negatif
@YadinMars,Ayo Bang kita tungguin kaum OD berikutnya untuk Blunder yg menurut dia jitu untuk menjatuhkan pamor pak Anies Baswedan,0,1,positif
@diahnya_sastro,"Janganlah si songong ini dijejerin pk anies,  cukup sma ahy dah gk ada lain yg cocok",1,2,positif
@carboxcarbo,Pak Anies ahli dalam memberikan memotivasi,0,2,positif
@bantdip,"Lu pada tolol yang dukung anies,prabowo,ganjar,jokowi dan partai partai sampe segitunya. Mereka aja dateng ke lu pada pas mau pemilu doang, mereka aja gaakan peduli lu mau mati kesengat lebah kek atau apalah. Lupada di sosmed saling hina, saling menjatuhkan",2,2,netral
@rdprasetyo_a,"Lha kalian tanya sama yg punya situs. Jangan nnti kalian tarik tarik ke ranah jegal anies ya . Klo menurut sy, buro happold risi karena tembok pembatas ambrol waktu ada pertandingan...",2,0,negatif
@neckleot,Kalo adu prestasi Anies gak akan kalah sepertinya ya,3,2,negatif
@bianca01403,"Kucing tugasnya memerangi tikus2.

Di pemerintahan Jokowi gak gitu. Kucing merangkap tikus. Kalau ada yang masih asli kucing, diancam penjara atau dipecat dari jabatannya. Sudirman Said, Anies, RR adalah kucing2 bersih yang disingkirkannya

#JokowiMusuhRakyat 
#JokowiMusuhRakyat",4,0,negatif
@jaa63300,Pak Anies peka dan jadi sosok pemimpin yang dekat dengan rakyat.,0,0,netral
@an15wn,Berarti followernya Pak Kapolri mayoritas pendukung Pak Anies. ,0,0,netral
@variztelrooy,"Fans Anies Baswedan gausah heboh
Ada Ganjar ama Puan juga kog di situ",0,0,netral
@GeiszChalifah,"Ribuan BuzzerRp sdh dikerahkan, pengamat abal2 juga sudah. Ada pula demo membawa bendera HMI yg saat ditanya LK dimana, malah bingung jawabnya. 
HMI MPO bodong juga sudah, Surveyer tipu2 juga sdh. Kini 3 Menteri plus kontraktor diturunkan. Hanya utk delegitimasi Anies Baswedan.",4,1,negatif
@BubutMotor,Salahnya pak anies apa sih? Apa lu sakit hati gara2 jagoan lu kalah pilkada?,2,2,netral
@jaa63300,Pak Anies peka dan jadi sosok pemimpin yang dekat dengan rakyat.,0,0,netral
,"Semakin semangat nih utk menangin Anies thn depan, supaya  keluarga bajingan idola nya cebong itu dimasukin bui",0,1,positif
@yana_udiyatna,"waaooo...Anies Baswedan berkomplot dgn gerombolan  Wahabi, ada Basalamah cs, ada Firanda Andirja yg lebih percaya Bumi itu Datar....",2,1,negatif
@enermge,Pak Anies peka dalam merespon masalah yg dihadapi warga,1,0,negatif
@WinnerWave_,Surya Tjandra ini mantan PSI kan ya. terlibat juga di reklamasi kalo ngga salah. sekarang jadi jubir Anies ya. hehehe jadi ketauan Anies didukung siapa dibelakangnya. 9 naga tuh,1,0,negatif
@Asmat19125444,"Loyal ada maunya ,Tetap Ganjar pranowo ,gue Muak di belakang prabowo Ada Buntelan kentut yg selalu nyinyir sama pak Jokowi.
Masih ingat gak sama pantun dia",4,1,negatif
@DokterTifa,"Ketika mas 
@aniesbaswedan
 Dalam kampanye Pilkada DKI Jakarta waktu itu, dengan yakin dan bersemangat akan bikin program Rumah DP 0%, kening saya berkerut dan dalam hati saya membatin:

Ah mana mungkin. Ngacok aja nih Anies.

But, a long the way, beberapa bulan ini saya sedang… Show more",1,3,positif
@fenjuls,Pak Anies ahli sebagai pemimpin karena pengalamannya,0,1,positif
,Anies peka akan kondisi pendidikan di Indonesia,0,1,positif
@bantdip,"Lu pada tolol yang dukung anies,prabowo,ganjar,jokowi dan partai partai sampe segitunya. Mereka aja dateng ke lu pada pas mau pemilu doang, mereka aja gaakan peduli lu mau mati kesengat lebah kek atau apalah. Lupada di sosmed saling hina, saling menjatuhkan",2,2,netral
@bantdip,"Lu pada tolol yang dukung anies,prabowo,ganjar,jokowi dan partai partai sampe segitunya. Mereka aja dateng ke lu pada pas mau pemilu doang, mereka aja gaakan peduli lu mau mati kesengat lebah kek atau apalah. Lupada di sosmed saling hina, saling menjatuhkan",2,2,netral
@bachrum_achmadi,"PDIP Sebut Pembangunan JIS Agenda Kampanye Murahan Anies Baswedan.

Si Gilbert Simanjuntak ini sakit hati & dengkinya luar biasa ke Anies, kekalahan Ahok-Djarot benar2 menyiksanya.

Lupa dia GBK dipake kegiatan parpol mcm PDIP, lupa dia Kertajati tdk ssuai fungsinya! ",5,1,negatif
@ionredhotchili_,"Sebagai pemimpin yang handal, Pak Anies ahli membuat kebijakan publik yg adil.",0,1,positif
@senyawaf,Pak Anies ahli membuat program yang sangat berguna untuk Jakarta,0,3,positif
,Pak Anies ahli menangani masalah di Jakarta,1,1,netral
